Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 2=Integrert_Avvik 
-9.1,-9.1,124.37859392166136
-9.1,-9.1,125.51410531997684
-9.1,-9.1,126.51099729537967
-9.1,-9.1,127.5748403072357
-9.1,-9.1,128.5725505352021
-9.1,-9.1,129.7247679233551
-9.1,-9.1,130.82967543602004
-10.5,-10.5,132.0327498912811
-10.5,-10.5,133.19663190841672
-10.5,-10.5,134.3928363323212
-10.5,-10.5,135.58602595329293
-10.5,-10.5,136.96383738517764
-10.5,-10.5,138.16422605514535
-10.5,-10.5,139.38318634033212
-10.5,-10.5,140.6132616996766
-10.5,-10.5,141.88416743278512
-10.5,-10.5,143.16276574134835
-10.5,-10.5,144.80505728721621
-10.5,-10.5,146.16290235519412
-10.5,-10.5,147.72715950012204
-9.1,-9.1,149.20741868019107
-9.1,-9.1,150.55202150344851
-9.1,-9.1,152.0895459651948
-9.1,-9.1,153.57608151435852
-10.5,-10.5,154.98656225204473
-10.5,-10.5,156.22841072082525
-10.5,-10.5,157.4540014266969
-11.899999999999999,-11.899999999999999,158.8587465286255
-11.899999999999999,-11.899999999999999,160.34775996208197
-11.899999999999999,-11.899999999999999,161.73948240280157
-11.899999999999999,-11.899999999999999,163.10276412963879
